iter	MultiClass
0	2.054599606
1	1.846659921
2	1.703164373
3	1.596341804
4	1.512920501
5	1.446305828
6	1.391527318
7	1.345983717
8	1.308262677
9	1.275699026
10	1.247517228
11	1.223873906
12	1.203538321
13	1.185732478
14	1.170375715
15	1.156899012
16	1.144922016
17	1.134326011
18	1.12543012
19	1.11745917
20	1.110157049
21	1.103738609
22	1.098278244
23	1.093470755
24	1.088807
25	1.08507974
26	1.081914029
27	1.078819436
28	1.07599818
29	1.073649277
30	1.071344609
31	1.069325252
32	1.067299378
33	1.065709853
34	1.064099533
35	1.062735664
36	1.061412466
37	1.06052379
38	1.059675575
39	1.058781876
40	1.057929469
41	1.057119716
42	1.056433065
43	1.055657586
44	1.054951211
45	1.054012927
46	1.053339843
47	1.05274781
48	1.052012039
49	1.051533763
50	1.051019879
51	1.050490402
52	1.050032656
53	1.049388779
54	1.048746255
55	1.048359194
56	1.048139057
57	1.047812399
58	1.047276499
59	1.046966028
60	1.046526535
61	1.046174997
62	1.045787444
63	1.045499275
64	1.045024649
65	1.044432444
66	1.044097487
67	1.043685047
68	1.043459286
69	1.04317415
70	1.042846987
71	1.042666533
72	1.04248365
73	1.042288724
74	1.041960127
75	1.04174485
76	1.041274622
77	1.040936281
78	1.040738763
79	1.040452928
80	1.040155432
81	1.039917109
82	1.039656281
83	1.039477007
84	1.039129709
85	1.038859521
86	1.038467359
87	1.038206586
88	1.037858526
89	1.037697353
90	1.037571742
91	1.037395282
92	1.037182558
93	1.037009731
94	1.036615641
95	1.036306925
96	1.036015139
97	1.035845349
98	1.035539375
99	1.035135139
100	1.034763918
101	1.034472358
102	1.033974443
103	1.033839169
104	1.03362753
105	1.033326056
106	1.033009827
107	1.032861865
108	1.032511687
109	1.032288195
110	1.032124798
111	1.031696073
112	1.031415546
113	1.031035035
114	1.030818446
115	1.030552326
116	1.030449541
117	1.03023383
118	1.02999891
119	1.029782152
120	1.029428957
121	1.029079377
122	1.028873271
123	1.028630215
124	1.028354102
125	1.02801682
126	1.027804423
127	1.027587765
128	1.027359934
129	1.027123087
130	1.026866556
131	1.026415401
132	1.026336729
133	1.026048097
134	1.025823849
135	1.025635682
136	1.025475334
137	1.025120587
138	1.024907341
139	1.024609709
140	1.024282223
141	1.024110576
142	1.023937496
143	1.023843009
144	1.023447318
145	1.023346093
146	1.023246167
147	1.022977134
148	1.022719924
149	1.022568831
150	1.02251546
151	1.022388431
152	1.021938116
153	1.021782685
