iter	Passed	Remaining
0	32	32618
1	75	37918
2	116	38797
3	162	40555
4	209	41693
5	254	42213
6	303	43029
7	344	42710
8	365	40216
9	405	40106
10	446	40142
11	487	40176
12	519	39436
13	560	39507
14	604	39727
15	651	40062
16	696	40285
17	740	40399
18	779	40233
19	823	40350
20	864	40316
21	905	40258
22	947	40231
23	987	40138
24	1027	40085
25	1066	39956
26	1106	39880
27	1146	39814
28	1191	39883
29	1247	40342
30	1291	40354
31	1332	40301
32	1372	40223
33	1413	40152
34	1454	40103
35	1493	39997
36	1535	39976
37	1579	39982
38	1624	40024
39	1667	40016
40	1714	40097
41	1761	40182
42	1803	40140
43	1843	40057
44	1886	40036
45	1929	40019
46	1972	39987
47	2012	39908
48	2054	39880
49	2105	40000
50	2152	40052
51	2200	40121
52	2244	40111
53	2287	40068
54	2331	40065
55	2375	40044
56	2402	39740
57	2448	39764
58	2491	39734
59	2533	39696
60	2575	39652
61	2624	39707
62	2675	39788
63	2732	39961
64	2777	39958
65	2819	39893
66	2859	39823
67	2899	39739
68	2941	39687
69	2982	39625
70	3022	39552
71	3062	39473
72	3105	39433
73	3144	39352
74	3186	39301
75	3228	39250
76	3268	39180
77	3310	39132
78	3350	39063
79	3392	39016
80	3434	38967
81	3476	38925
82	3516	38853
83	3560	38821
84	3602	38777
85	3643	38726
86	3685	38680
87	3729	38654
88	3776	38657
89	3816	38587
90	3856	38517
91	3896	38459
92	3937	38405
93	3982	38384
94	4033	38422
95	4080	38421
96	4120	38354
97	4159	38286
98	4202	38249
99	4244	38198
100	4286	38152
101	4325	38079
102	4368	38039
103	4410	37996
104	4454	37966
105	4501	37968
106	4545	37933
107	4585	37870
108	4624	37801
109	4665	37749
110	4708	37707
111	4751	37669
112	4793	37629
113	4840	37622
114	4885	37593
115	4925	37537
116	4968	37497
117	5008	37436
118	5048	37378
119	5092	37347
120	5134	37298
121	5176	37255
122	5221	37230
123	5266	37203
124	5311	37182
125	5355	37151
126	5396	37097
127	5436	37039
128	5480	37003
129	5531	37018
130	5575	36986
131	5619	36951
132	5660	36896
133	5703	36861
134	5750	36846
135	5791	36790
136	5834	36751
137	5876	36708
138	5918	36659
139	5959	36608
140	5998	36546
141	6040	36497
142	6083	36461
143	6128	36428
144	6173	36403
145	6215	36357
146	6257	36312
147	6299	36265
148	6339	36209
149	6380	36156
150	6421	36102
151	6461	36048
152	6504	36008
153	6546	35962
154	6591	35936
155	6635	35899
156	6680	35872
157	6726	35846
158	6773	35828
159	6815	35781
160	6862	35763
161	6903	35711
162	6944	35658
163	6985	35609
164	7025	35553
165	7065	35496
166	7110	35469
167	7152	35419
168	7194	35376
169	7235	35327
170	7278	35283
171	7320	35238
172	7361	35188
173	7401	35133
174	7441	35080
175	7482	35029
176	7523	34980
177	7564	34934
178	7605	34882
179	7649	34846
180	7694	34817
181	7739	34784
182	7782	34743
183	7825	34704
184	7865	34651
185	7907	34603
186	7949	34559
187	7994	34528
188	8037	34489
189	8078	34438
190	8121	34398
191	8162	34349
192	8202	34299
193	8242	34242
194	8285	34202
195	8325	34152
196	8367	34107
197	8411	34071
198	8453	34024
199	8498	33994
200	8542	33957
201	8583	33910
202	8623	33858
203	8663	33803
204	8707	33769
205	8751	33732
206	8793	33688
207	8842	33671
208	8886	33631
209	8931	33600
210	8974	33556
211	9015	33509
212	9057	33467
213	9106	33446
214	9151	33415
215	9195	33374
216	9237	33329
217	9277	33281
218	9319	33236
219	9361	33191
220	9402	33143
221	9448	33111
222	9495	33084
223	9538	33045
224	9581	33003
225	9624	32963
226	9666	32916
227	9712	32886
228	9761	32865
229	9810	32842
230	9857	32816
231	9899	32772
232	9944	32736
233	9987	32694
234	10028	32646
235	10072	32608
236	10115	32564
237	10160	32530
238	10203	32489
239	10246	32447
240	10289	32404
241	10331	32362
242	10376	32323
243	10420	32286
244	10466	32255
245	10512	32220
246	10558	32188
247	10600	32144
248	10642	32098
249	10683	32049
250	10726	32007
251	10767	31962
252	10808	31913
253	10851	31871
254	10892	31821
255	10934	31778
256	10981	31748
257	11023	31702
258	11067	31664
259	11111	31625
260	11155	31585
261	11200	31549
262	11243	31508
263	11286	31465
264	11328	31420
265	11369	31372
266	11410	31325
267	11453	31284
268	11497	31243
269	11539	31199
270	11581	31154
271	11621	31105
272	11665	31066
273	11710	31029
274	11756	30994
275	11806	30969
276	11853	30939
277	11899	30903
278	11944	30868
279	11993	30839
280	12037	30800
281	12081	30760
282	12132	30738
283	12181	30711
284	12227	30676
285	12273	30641
286	12320	30607
287	12367	30574
288	12410	30532
289	12451	30484
290	12494	30441
291	12535	30394
292	12578	30352
293	12620	30305
294	12662	30260
295	12706	30220
296	12748	30175
297	12788	30126
298	12831	30082
299	12875	30042
300	12918	29999
301	12960	29955
302	13002	29909
303	13050	29878
304	13091	29830
305	13132	29783
306	13185	29763
307	13230	29725
308	13273	29681
309	13313	29633
310	13354	29586
311	13394	29536
312	13436	29490
313	13477	29444
314	13519	29400
315	13563	29359
316	13608	29319
317	13649	29273
318	13691	29228
319	13731	29179
320	13775	29139
321	13818	29095
322	13859	29048
323	13901	29005
324	13944	28961
325	13984	28912
326	14027	28870
327	14075	28838
328	14117	28792
329	14159	28748
330	14200	28701
331	14244	28660
332	14286	28616
333	14329	28573
334	14371	28529
335	14412	28481
336	14456	28441
337	14496	28393
338	14541	28353
339	14582	28306
340	14623	28261
341	14666	28217
342	14707	28171
343	14747	28123
344	14789	28077
345	14832	28036
346	14873	27988
347	14916	27946
348	14958	27902
349	15000	27858
350	15042	27813
351	15083	27767
352	15126	27724
353	15169	27682
354	15214	27643
355	15263	27611
356	15304	27565
357	15347	27522
358	15389	27477
359	15430	27432
360	15475	27392
361	15516	27347
362	15559	27303
363	15603	27262
364	15644	27217
365	15691	27181
366	15732	27136
367	15773	27090
368	15815	27045
369	15858	27001
370	15900	26957
371	15941	26912
372	15983	26867
373	16025	26822
374	16064	26774
375	16107	26732
376	16150	26688
377	16192	26644
378	16236	26603
379	16279	26561
380	16322	26517
381	16362	26471
382	16403	26425
383	16449	26387
384	16490	26341
385	16532	26297
386	16575	26254
387	16617	26210
388	16659	26167
389	16702	26124
390	16742	26077
391	16784	26033
392	16824	25986
393	16866	25942
394	16909	25899
395	16951	25854
396	16990	25807
397	17030	25760
398	17073	25717
399	17114	25672
400	17159	25631
401	17202	25589
402	17243	25543
403	17284	25498
404	17326	25454
405	17368	25411
406	17409	25366
407	17451	25321
408	17492	25277
409	17533	25230
410	17577	25189
411	17617	25142
412	17659	25099
413	17702	25057
414	17751	25022
415	17792	24978
416	17834	24934
417	17875	24888
418	17916	24843
419	17958	24799
420	17998	24753
421	18041	24711
422	18083	24667
423	18123	24620
424	18167	24579
425	18210	24537
426	18254	24495
427	18294	24449
428	18336	24405
429	18378	24361
430	18424	24324
431	18471	24286
432	18516	24247
433	18562	24208
434	18607	24167
435	18647	24121
436	18690	24079
437	18730	24032
438	18771	23987
439	18811	23942
440	18853	23897
441	18893	23852
442	18935	23808
443	18980	23768
444	19024	23727
445	19065	23682
446	19108	23639
447	19149	23594
448	19191	23551
449	19234	23509
450	19276	23465
451	19317	23420
452	19360	23377
453	19406	23339
454	19454	23302
455	19497	23260
456	19538	23215
457	19581	23173
458	19623	23129
459	19664	23084
460	19705	23039
461	19746	22994
462	19791	22954
463	19834	22912
464	19876	22868
465	19916	22822
466	19963	22785
467	20005	22741
468	20048	22699
469	20089	22654
470	20134	22613
471	20177	22571
472	20222	22531
473	20270	22493
474	20314	22452
475	20356	22408
476	20399	22366
477	20441	22322
478	20483	22279
479	20525	22236
480	20568	22193
481	20611	22150
482	20654	22108
483	20699	22067
484	20739	22022
485	20780	21977
486	20822	21933
487	20864	21890
488	20906	21847
489	20945	21800
490	20986	21755
491	21027	21711
492	21069	21667
493	21110	21623
494	21151	21579
495	21195	21537
496	21238	21495
497	21283	21454
498	21325	21410
499	21365	21365
500	21405	21319
501	21447	21276
502	21488	21232
503	21529	21188
504	21570	21143
505	21611	21099
506	21656	21058
507	21698	21014
508	21739	20970
509	21779	20925
510	21820	20881
511	21861	20836
512	21904	20794
513	21944	20749
514	21985	20704
515	22027	20661
516	22068	20617
517	22113	20576
518	22153	20531
519	22195	20488
520	22234	20442
521	22277	20400
522	22324	20361
523	22366	20317
524	22407	20273
525	22447	20228
526	22490	20186
527	22535	20145
528	22577	20101
529	22618	20057
530	22660	20014
531	22701	19970
532	22742	19926
533	22783	19882
534	22823	19837
535	22863	19792
536	22904	19748
537	22947	19705
538	22987	19660
539	23029	19617
540	23070	19573
541	23110	19529
542	23151	19484
543	23194	19442
544	23235	19398
545	23277	19355
546	23321	19313
547	23363	19270
548	23407	19229
549	23450	19187
550	23498	19148
551	23542	19107
552	23585	19064
553	23625	19019
554	23666	18975
555	23707	18932
556	23749	18888
557	23792	18846
558	23834	18803
559	23878	18761
560	23922	18720
561	23965	18677
562	24006	18633
563	24048	18590
564	24091	18548
565	24131	18503
566	24174	18461
567	24215	18417
